text,label
تم استلام مستنداتك لدى جامعة الأميرة نورة. رقم المرجع 83596.,0
خدمة العملاء: مرحبًا، تم تعذر تسليم شحنتك من سمسا بسبب عدم اكتمال العنوان. يرجى تعديل العنوان من التطبيق الرسمي قبل اليوم. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
تم تحديث حالة الطلب في نمشي إلى: قيد التجهيز. يمكنك المتابعة من التطبيق الرسمي.,0
مرحبًا لولوة، تم استرداد مبلغ 199.00 ريال إلى محفظتك في كيتا. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
"إشعار من نون: تم تسجيل طلب استرجاع بقيمة 3,480.00 ريال. مدة المعالجة من 3 إلى 5 أيام عمل. للمعلومية فقط.",0
مرحبًا شهد، تم تأكيد طلبك لدى أمازون السعودية. رقم الطلب 818404، وسيصلك إشعار عند الشحن.,0
خدمة العملاء: تم إصدار إشعار سداد من ساب بمبلغ 78.20 ريال. يمكنك المراجعة من التطبيق الرسمي.,0
خدمة العملاء: أهلًا لولوة، تم استلام طلب التوظيف الخاص بك لدى طاقات بنجاح. راقب بريدك الرسمي لموعد المقابلة. للمعلومية فقط.,0
إشعار من شركة التمكين: تم جدولة مقابلة مبدئية بتاريخ 2026-02-21 وسيصلك البريد التفصيلي قريبًا. رقم المرجع 59299.,0
مرسول: تم استلام طلبك بنجاح. يمكنك تتبع المندوب من التطبيق الرسمي. رقم الطلب 683816. الفرع المرجعي: الخبر.,0
إشعار من نون: تم تسجيل طلب استرجاع بقيمة 49.99 ريال. مدة المعالجة من 3 إلى 5 أيام عمل. للمعلومية فقط.,0
واتساب: تم تحديث كلمة المرور لحسابك بنجاح. إذا لم تكن أنت صاحب التغيير فاستخدم التطبيق الرسمي لاستعادة الحساب. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
خدمة العملاء: إشعار من STC: تم تفعيل الشريحة الإلكترونية بنجاح على الرقم المنتهي بـ 34.,0
إشعار أمني من إنستقرام: تم تسجيل دخول جديد إلى حسابك عند 08:05 مساءً. إذا كانت المحاولة لك فلا يلزم أي إجراء. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
إشعار من عمادة القبول والتسجىل: تم تسجيل دخول جديد إلى حسابك الجامعي الساعة 01:10 ظهرًا. الفرع المرجعي: الدمام.,0
تم استلام طلب التوصيل لدى ناقل بنجاح. رقم المرجع 37085. سيتم إشعارك عند وجود تحديث جديد. الفرع المرجعي: مكة.,0
سناب شات: تم تحديث كلمة المرور لحسابك بنجاح. إذا لم تكن أنت صاحب التغيير فاستخدم التطبيق الرسمي لاستعادة الحساب. رقم المرجع 57177.,0
إشعار من مرسول: تم تحديث عنوان التوصيل للطلب رقم 284704. للمعلومية فقط.,0
مرحبًا تركي، تم استرداد مبلغ 78.20 ريال إلى محفظتك في جاهز. للمعلومية فقط.,0
مرحبًا خالد، تم استرداد مبلغ 250.75 ريال إلى محفظتك في هنقرستيشن.,0
خدمة العملاء: البلاك بورد: تم تحديث حالة طلبك الأكاديمي بنجاح. يمكنك متابعة التفاصيل من البوابة الرسمية. الفرع المرجعي: المدينة.,0
مرحبًا فيصل، تم استرداد مبلغ 199.00 ريال إلى محفظتك في هنقرستيشن. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
تم استلام طلب التوصيل لدى ناقل بنجاح. رقم المرجع 59614. سيتم إشعارك عند وجود تحديث جديد. الفرع المرجعي: حائل.,0
بيت.كوم: تم تحديث حالة طلبك الوظيفي إلى تحت المراجعة. لا يلزم أي إجراء حاليًا. رقم المرجع 80630.,0
خدمة العملاء: إشعار من أبشر: تم تسجيل دخول جديد إلى حسابك الساعة 09:15 صباحًا. إذا كنت أنت المستخدم فلا يلزم أي إجراء.,0
خدمة العملاء: إشعار من طاقات: تم جدولة مقابلة مبدئية بتاريخ 2026-01-12 وسيصلك البريد التفصيلي قريبًا.,0
إشعار من نفاذ: تم تسجيل دخول جديد إلى حسابك الساعة 04:25 مساءً. إذا كنت انت المستخدم فلا يلزم اي إجراء. الفرع المرجعي: حائل.,0
خدمة العملاء: البلاك بورد: تم تحديث حالة طلبك الاكاديمي بصورة ناجحة. يمكنك متابعة التفاصيل من البوابة الرسمية. رقم المرجع 85674.,0
خدمة العملاء: أهلًا سلطان، تم استلام طلب التوظيف الخاص بك لدى بيت.كوم بنجاح. راقب بريدك الرسمي لموعد المقابلة. الفرع المرجعي: القصيم.,0
خدمة العملاء: واتساب: تم تحديث كلمة المرور لحسابك بنجاح. إذا لم تكن أنت صاحب التغيير فاستخدم التطبيق الرسمي لاستعادة الحساب.,0
تنبيه من موبايلي: تم طلب نقل ملكية الرقم وهو الآن تحت المراجعة. إذا لم تكن صاحب الطلب تواصل مع القنوات الرسمية.,0
خدمة العملاء: وظائف السعودية: تم تحديث حالة طلبك الوظيفي إلى تحت المراجعة. لا يلزم أي إجراء حاليًا.,0
خدمة العملاء: مرحبًا شهد، تم استرداد مبلغ 78.20 ريال إلى محفظتك في طلبات. للمعلومية فقط.,0
اشعار من دي اتش إل: الشحنة رقم 464720 بانتظار التأكيد من المستلم. لا يلزمك الدفع عبر الروابط. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
"هلا مها، تم استرداد مبلغ 1,250.00 ريال إلى محفظتك في مرسول. الرجاء تجاهل الرسالة إذا تمت المعالجة.",0
إشعار من البلاك بورد: تم تسجيل دخول جديد إلى حسابك الجامعي الساعة 01:10 ظهرًا. الفرع المرجعي: المدينة.,0
خدمة العملاء: تنبيه من تيك توك: تم تفعيل التحقق بخطوتين على الحساب المسجل.,0
تم تحديث إعدادات الأمان في حسابك لدى Rain. راجع التطبيق الرسمي لمزيد من التفاصيل. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
سلام: تم إصدار فاتورة هذا الشهر بقيمة 78.20 ريال. يمكنك السداد من التطبيق الرسمي أو نقاط الخدمة. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
إشعار من أبشر: تم تسجيل دخول جديد إلى حسابك الساعة 09:15 صباحًا. إذا كنت أنت المستخدم فلا يلزم أي إجراء. للمعلومية فقط.,0
خدمة العملاء: شركة التمكين: تم تحديث حالة طلبك الوظيفي إلى تحت المراجعة. لا يلزم أي إجراء حاليًا.,0
خدمة العملاء: مرحبًا نورة، تم تأكيد طلبك لدى شي ان. رقم الطلب 791123، وسيصلك إشعار عند الشحن.,0
موبايلي: تم إصدار فاتورة هذا الشهر بقيمة 78.20 ريال. يمكنك السداد من التطبيق الرسمي أو نقاط الخدمة. للمعلومية فقط.,0
خدمة العملاء: تم استلام مستنداتك لدى البلاك بورد. رقم المرجع 25068. للمعلومية فقط.,0
إشعار من طلبات: تم تحديث عنوان التوصيل للطلب رقم 438305. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
تنبيه من STC: تم طلب نقل ملكية الرقم وهو الآن تحت المراجعة. إذا لم تكن صاحب الطلب تواصل مع القنوات الرسمية.,0
تنبيه من موبايلي: تم طلب نقل ملكية الرقم وهو الآن تحت المراجعة. إذا لم تكن صاحب الطلب تواصل مع القنوات الرسمية. الفرع المرجعي: تبوك.,0
مرحبًا سلطان، تم تأكيد طلبك لدى شي ان. رقم الطلب 371911، وسيصلك إشعار عند الشحن. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
إشعار من إكسترا: تم تسجيل طلب استرجاع بقيمة 199.00 ريال. مدة المعالجة من 3 إلى 5 أيام عمل.,0
خدمة العملاء: مرسول: تم استلام طلبك بنجاح. يمكنك تتبع المندوب من التطبيق الرسمي. رقم الطلب 767537. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
إشعار من نمشي: تم تسجيل طلب استرجاع بقيمة 250.75 ريال. مدة المعالجة من 3 إلى 5 أيام عمل.,0
تنبيه من إنستقرام: تم تفعيل التحقق بخطوتين على الحساب المسجل. رقم المرجع 53899.,0
مرحبًا شهد، تم تأكيد طلبك لدى نون. رقم الطلب 530662، وسيصلك إشعار عند الشحن. رقم المرجع 82236.,0
خدمة العملاء: تم إصدار إشعار سداد من بنك الرياض بمبلغ 120.00 ريال. يمكنك المراجعة من التطبيق الرسمي.,0
إشعار من بيت.كوم: تم جدولة مقابلة مبدئية بتاريخ 2026-01-01 وسيصلك البريد التفصيلي قريبًا.,0
تم استلام مستنداتك لدى جامعة الأميرة نورة. رقم المرجع 98266. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
خدمة العملاء: تم استلام طلبك عبر نفاذ بنجاح بتاريخ 2026-03-09. رقم المرجع 29477. الرجاء تجاهل الرسالة إذا تمت المعالجة.,0
تم استلام طلب التوصيل لدى فيديكس بنجاح. رقم المرجع 73943. سيتم إشعارك عند وجود تحديث جديد. للمعلومية فقط.,0
